OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FID,Id,X,Y
1238,-1,57,0.070203074833231,1,57,0,-96.812500000000000,30.437500000000000
1239,-1,57,0.064504854760843,1,57,0,-96.812500000000000,30.437500000000000
1240,-1,41,0.052360753030577,1,41,0,-96.812500000000000,30.312500000000000
1241,-1,41,0.049388991370049,1,41,0,-96.812500000000000,30.312500000000000
1242,-1,41,0.069846860702632,1,41,0,-96.812500000000000,30.312500000000000
1243,-1,40,0.038724416650672,1,40,0,-96.937500000000000,30.312500000000000
1244,-1,22,0.054882737075325,1,22,0,-97.187500000000000,30.187500000000000
1245,-1,22,0.042586209958317,1,22,0,-97.187500000000000,30.187500000000000
1246,-1,24,0.033693540782546,1,24,0,-96.937500000000000,30.187500000000000
1247,-1,40,0.041425013196723,1,40,0,-96.937500000000000,30.312500000000000
1248,-1,53,0.050003715566908,1,53,0,-97.312500000000000,30.437500000000000
1249,-1,53,0.019366940107264,1,53,0,-97.312500000000000,30.437500000000000
1250,-1,53,0.040126533965210,1,53,0,-97.312500000000000,30.437500000000000
1251,-1,72,0.039105023277339,1,72,0,-96.937500000000000,30.562500000000000
1252,-1,56,0.037383978193254,1,56,0,-96.937500000000000,30.437500000000000
1253,-1,72,0.047731815902123,1,72,0,-96.937500000000000,30.562500000000000
1254,-1,72,0.057809169735002,1,72,0,-96.937500000000000,30.562500000000000
1255,-1,72,0.071404714490771,1,72,0,-96.937500000000000,30.562500000000000
1256,-1,89,0.046538130214842,1,89,0,-96.812500000000000,30.687500000000000
1257,-1,89,0.057998261147916,1,89,0,-96.812500000000000,30.687500000000000
1258,-1,89,0.045909906563927,1,89,0,-96.812500000000000,30.687500000000000
1259,-1,88,0.067233555011750,1,88,0,-96.937500000000000,30.687500000000000
1260,-1,88,0.063850591472514,1,88,0,-96.937500000000000,30.687500000000000
1261,-1,57,0.025977673754072,1,57,0,-96.812500000000000,30.437500000000000
1262,-1,56,0.073819357990965,1,56,0,-96.937500000000000,30.437500000000000
1263,-1,42,0.009811479901129,1,42,0,-96.687500000000000,30.312500000000000
1264,-1,42,0.037648997227284,1,42,0,-96.687500000000000,30.312500000000000
1265,-1,42,0.007585922219733,1,42,0,-96.687500000000000,30.312500000000000
1266,-1,42,0.009726927982436,1,42,0,-96.687500000000000,30.312500000000000
1267,-1,40,0.013212263565748,1,40,0,-96.937500000000000,30.312500000000000
1268,-1,40,0.028101922620686,1,40,0,-96.937500000000000,30.312500000000000
1269,-1,40,0.010970962556242,1,40,0,-96.937500000000000,30.312500000000000
1270,-1,40,0.021021874525589,1,40,0,-96.937500000000000,30.312500000000000
1271,-1,59,0.052466794894177,1,59,0,-96.562500000000000,30.437500000000000
1272,-1,59,0.054599781062565,1,59,0,-96.562500000000000,30.437500000000000
1273,-1,61,0.053649200642325,1,61,0,-96.312500000000000,30.437500000000000
1274,-1,61,0.075490232521875,1,61,0,-96.312500000000000,30.437500000000000
1275,-1,41,0.061757061008339,1,41,0,-96.812500000000000,30.312500000000000
1276,-1,41,0.076752124095201,1,41,0,-96.812500000000000,30.312500000000000
1277,-1,41,0.055687154579629,1,41,0,-96.812500000000000,30.312500000000000
1278,-1,41,0.017117469824380,1,41,0,-96.812500000000000,30.312500000000000
1279,-1,59,0.048207232664183,1,59,0,-96.562500000000000,30.437500000000000
1280,-1,59,0.035246064421828,1,59,0,-96.562500000000000,30.437500000000000
